city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
London,2010-04-19,38,38,16.0,33.0,4.4,pm25
New York,2010-04-19,33,33,,,,pm25
Delhi,2010-04-20,313,313,,,,pm25
London,2010-04-20,38,38,16.0,33.0,4.4,pm25
New York,2010-04-20,33,33,,,,pm25
Delhi,2010-04-21,313,313,,,,pm25
London,2010-04-21,38,38,16.0,33.0,4.4,pm25
New York,2010-04-21,33,33,,,,pm25
Delhi,2010-04-22,313,313,,,,pm25
London,2010-04-22,38,38,16.0,33.0,4.4,pm25
New York,2010-04-22,33,33,,,,pm25
Delhi,2010-04-23,313,313,,,,pm25
London,2010-04-23,38,38,16.0,33.0,4.4,pm25
New York,2010-04-23,33,33,,,,pm25
Delhi,2010-04-24,313,313,,,,pm25
London,2010-04-24,38,38,16.0,33.0,4.4,pm25
New York,2010-04-24,33,33,,,,pm25
Delhi,2010-04-25,313,313,,,,pm25
London,2010-04-25,38,38,16.0,33.0,4.4,pm25
New York,2010-04-25,33,33,,,,pm25
Delhi,2010-04-26,313,313,,,,pm25
London,2010-04-26,38,38,16.0,33.0,4.4,pm25
New York,2010-04-26,33,33,,,,pm25
Delhi,2010-04-27,313,313,,,,pm25
London,2010-04-27,38,38,16.0,33.0,4.4,pm25
New York,2010-04-27,33,33,,,,pm25
Delhi,2010-04-28,313,313,,,,pm25
London,2010-04-28,38,38,16.0,33.0,4.4,pm25
New York,2010-04-28,33,33,,,,pm25
Delhi,2010-04-29,313,313,,,,pm25
London,2010-04-29,38,38,16.0,33.0,4.4,pm25
New York,2010-04-29,33,33,,,,pm25
Delhi,2010-04-30,313,313,,,,pm25
London,2010-04-30,38,38,16.0,33.0,4.4,pm25
New York,2010-04-30,33,33,,,,pm25
Delhi,2010-05-01,313,313,,,,pm25
London,2010-05-01,38,38,16.0,33.0,4.4,pm25
New York,2010-05-01,33,33,,,,pm25
Delhi,2010-05-02,313,313,,,,pm25
London,2010-05-02,38,38,16.0,33.0,4.4,pm25
New York,2010-05-02,33,33,,,,pm25
Delhi,2010-05-03,313,313,,,,pm25
London,2010-05-03,38,38,16.0,33.0,4.4,pm25
New York,2010-05-03,33,33,,,,pm25
Delhi,2010-05-04,313,313,,,,pm25
London,2010-05-04,38,38,16.0,33.0,4.4,pm25
New York,2010-05-04,33,33,,,,pm25
Delhi,2010-05-05,313,313,,,,pm25
London,2010-05-05,38,38,16.0,33.0,4.4,pm25
New York,2010-05-05,33,33,,,,pm25
Delhi,2010-05-06,313,313,,,,pm25
London,2010-05-06,38,38,16.0,33.0,4.4,pm25
New York,2010-05-06,33,33,,,,pm25
Delhi,2010-05-07,313,313,,,,pm25
London,2010-05-07,38,38,16.0,33.0,4.4,pm25
New York,2010-05-07,33,33,,,,pm25
Delhi,2010-05-08,313,313,,,,pm25
London,2010-05-08,38,38,16.0,33.0,4.4,pm25
New York,2010-05-08,33,33,,,,pm25
Delhi,2010-05-09,313,313,,,,pm25
London,2010-05-09,38,38,16.0,33.0,4.4,pm25
New York,2010-05-09,33,33,,,,pm25
Delhi,2010-05-10,313,313,,,,pm25
London,2010-05-10,38,38,16.0,33.0,4.4,pm25
New York,2010-05-10,33,33,,,,pm25
Delhi,2010-05-11,313,313,,,,pm25
London,2010-05-11,38,38,16.0,33.0,4.4,pm25
New York,2010-05-11,33,33,,,,pm25
Delhi,2010-05-12,313,313,,,,pm25
London,2010-05-12,38,38,16.0,33.0,4.4,pm25
New York,2010-05-12,33,33,,,,pm25
Delhi,2010-05-13,313,313,,,,pm25
London,2010-05-13,38,38,16.0,33.0,4.4,pm25
New York,2010-05-13,33,33,,,,pm25
Delhi,2010-05-14,313,313,,,,pm25
London,2010-05-14,38,38,16.0,33.0,4.4,pm25
New York,2010-05-14,33,33,,,,pm25
Delhi,2010-05-15,313,313,,,,pm25
London,2010-05-15,38,38,16.0,33.0,4.4,pm25
New York,2010-05-15,33,33,,,,pm25
Delhi,2010-05-16,313,313,,,,pm25
London,2010-05-16,38,38,16.0,33.0,4.4,pm25
New York,2010-05-16,33,33,,,,pm25
Delhi,2010-05-17,313,313,,,,pm25
