city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
Delhi,2020-05-10,291,291,,,,pm25
London,2020-05-10,34,34,15.0,28.4,3.7,pm25
New York,2020-05-10,25,25,,,,pm25
Delhi,2020-05-11,291,291,,,,pm25
London,2020-05-11,34,34,15.0,28.4,3.7,pm25
New York,2020-05-11,25,25,,,,pm25
Delhi,2020-05-12,291,291,,,,pm25
London,2020-05-12,34,34,15.0,28.4,3.7,pm25
New York,2020-05-12,25,25,,,,pm25
Delhi,2020-05-13,291,291,,,,pm25
London,2020-05-13,34,34,15.0,28.4,3.7,pm25
New York,2020-05-13,25,25,,,,pm25
Delhi,2020-05-14,291,291,,,,pm25
London,2020-05-14,34,34,15.0,28.4,3.7,pm25
New York,2020-05-14,25,25,,,,pm25
Delhi,2020-05-15,291,291,,,,pm25
London,2020-05-15,34,34,15.0,28.4,3.7,pm25
New York,2020-05-15,25,25,,,,pm25
Delhi,2020-05-16,291,291,,,,pm25
London,2020-05-16,34,34,15.0,28.4,3.7,pm25
New York,2020-05-16,25,25,,,,pm25
Delhi,2020-05-17,291,291,,,,pm25
London,2020-05-17,34,34,15.0,28.4,3.7,pm25
New York,2020-05-17,25,25,,,,pm25
Delhi,2020-05-18,291,291,,,,pm25
London,2020-05-18,34,34,15.0,28.4,3.7,pm25
New York,2020-05-18,25,25,,,,pm25
Delhi,2020-05-19,291,291,,,,pm25
London,2020-05-19,34,34,15.0,28.4,3.7,pm25
New York,2020-05-19,25,25,,,,pm25
Delhi,2020-05-20,291,291,,,,pm25
London,2020-05-20,34,34,15.0,28.4,3.7,pm25
New York,2020-05-20,25,25,,,,pm25
Delhi,2020-05-21,291,291,,,,pm25
London,2020-05-21,34,34,15.0,28.4,3.7,pm25
New York,2020-05-21,25,25,,,,pm25
Delhi,2020-05-22,291,291,,,,pm25
London,2020-05-22,34,34,15.0,28.4,3.7,pm25
New York,2020-05-22,20,20,,,,pm25
Delhi,2020-05-23,291,291,,,,pm25
London,2020-05-23,34,34,15.0,28.4,3.7,pm25
New York,2020-05-23,20,20,,,,pm25
Delhi,2020-05-24,291,291,,,,pm25
London,2020-05-24,34,34,15.0,28.4,3.7,pm25
New York,2020-05-24,20,20,,,,pm25
Delhi,2020-05-25,291,291,,,,pm25
London,2020-05-25,34,34,15.0,28.4,3.7,pm25
New York,2020-05-25,20,20,,,,pm25
Delhi,2020-05-26,291,291,,,,pm25
London,2020-05-26,34,34,15.0,28.4,3.7,pm25
New York,2020-05-26,20,20,,,,pm25
Delhi,2020-05-27,291,291,,,,pm25
London,2020-05-27,34,34,15.0,28.4,3.7,pm25
New York,2020-05-27,20,20,,,,pm25
Delhi,2020-05-28,291,291,,,,pm25
London,2020-05-28,34,34,15.0,28.4,3.7,pm25
New York,2020-05-28,20,20,,,,pm25
Delhi,2020-05-29,291,291,,,,pm25
London,2020-05-29,34,34,15.0,28.4,3.7,pm25
New York,2020-05-29,20,20,,,,pm25
Delhi,2020-05-30,291,291,,,,pm25
London,2020-05-30,34,34,15.0,28.4,3.7,pm25
New York,2020-05-30,20,20,,,,pm25
Delhi,2020-05-31,291,291,,,,pm25
London,2020-05-31,34,34,15.0,28.4,3.7,pm25
New York,2020-05-31,20,20,,,,pm25
Delhi,2020-06-01,291,291,,,,pm25
London,2020-06-01,34,34,15.0,28.4,3.7,pm25
New York,2020-06-01,20,20,,,,pm25
Delhi,2020-06-02,291,291,,,,pm25
London,2020-06-02,34,34,15.0,28.4,3.7,pm25
New York,2020-06-02,20,20,,,,pm25
Delhi,2020-06-03,291,291,,,,pm25
London,2020-06-03,34,34,15.0,28.4,3.7,pm25
New York,2020-06-03,20,20,,,,pm25
Delhi,2020-06-04,291,291,,,,pm25
London,2020-06-04,34,34,15.0,28.4,3.7,pm25
New York,2020-06-04,20,20,,,,pm25
Delhi,2020-06-05,291,291,,,,pm25
London,2020-06-05,34,34,15.0,28.4,3.7,pm25
New York,2020-06-05,20,20,,,,pm25
Delhi,2020-06-06,291,291,,,,pm25
London,2020-06-06,34,34,15.0,28.4,3.7,pm25
New York,2020-06-06,20,20,,,,pm25
Delhi,2020-06-07,291,291,,,,pm25
London,2020-06-07,34,34,15.0,28.4,3.7,pm25
New York,2020-06-07,20,20,,,,pm25
Delhi,2020-06-08,291,291,,,,pm25
London,2020-06-08,34,34,15.0,28.4,3.7,pm25
New York,2020-06-08,20,20,,,,pm25
Delhi,2020-06-09,291,291,,,,pm25
London,2020-06-09,34,34,15.0,28.4,3.7,pm25
New York,2020-06-09,20,20,,,,pm25
Delhi,2020-06-10,291,291,,,,pm25
London,2020-06-10,34,34,15.0,28.4,3.7,pm25
New York,2020-06-10,20,20,,,,pm25
Delhi,2020-06-11,291,291,,,,pm25
London,2020-06-11,34,34,15.0,28.4,3.7,pm25
New York,2020-06-11,20,20,,,,pm25
Delhi,2020-06-12,291,291,,,,pm25
London,2020-06-12,34,34,15.0,28.4,3.7,pm25
New York,2020-06-12,20,20,,,,pm25
Delhi,2020-06-13,291,291,,,,pm25
London,2020-06-13,34,34,15.0,28.4,3.7,pm25
New York,2020-06-13,20,20,,,,pm25
Delhi,2020-06-14,291,291,,,,pm25
London,2020-06-14,34,34,15.0,28.4,3.7,pm25
New York,2020-06-14,20,20,,,,pm25
Delhi,2020-06-15,291,291,,,,pm25
London,2020-06-15,34,34,15.0,28.4,3.7,pm25
New York,2020-06-15,20,20,,,,pm25
Delhi,2020-06-16,291,291,,,,pm25
London,2020-06-16,34,34,15.0,28.4,3.7,pm25
New York,2020-06-16,20,20,,,,pm25
Delhi,2020-06-17,291,291,,,,pm25
London,2020-06-17,34,34,15.0,28.4,3.7,pm25
New York,2020-06-17,20,20,,,,pm25
Delhi,2020-06-18,291,291,,,,pm25
London,2020-06-18,34,34,15.0,28.4,3.7,pm25
New York,2020-06-18,20,20,,,,pm25
Delhi,2020-06-19,291,291,,,,pm25
London,2020-06-19,34,34,15.0,28.4,3.7,pm25
New York,2020-06-19,20,20,,,,pm25
Delhi,2020-06-20,291,291,,,,pm25
London,2020-06-20,34,34,15.0,28.4,3.7,pm25
New York,2020-06-20,20,20,,,,pm25
Delhi,2020-06-21,291,291,,,,pm25
London,2020-06-21,34,34,15.0,28.4,3.7,pm25
New York,2020-06-21,20,20,,,,pm25
Delhi,2020-06-22,291,291,,,,pm25
London,2020-06-22,34,34,15.0,28.4,3.7,pm25
New York,2020-06-22,20,20,,,,pm25
Delhi,2020-06-23,291,291,,,,pm25
London,2020-06-23,34,34,15.0,28.4,3.7,pm25
New York,2020-06-23,20,20,,,,pm25
Delhi,2020-06-24,291,291,,,,pm25
London,2020-06-24,34,34,15.0,28.4,3.7,pm25
New York,2020-06-24,20,20,,,,pm25
Delhi,2020-06-25,291,291,,,,pm25
London,2020-06-25,34,34,15.0,28.4,3.7,pm25
New York,2020-06-25,20,20,,,,pm25
Delhi,2020-06-26,291,291,,,,pm25
London,2020-06-26,34,34,15.0,28.4,3.7,pm25
New York,2020-06-26,20,20,,,,pm25
Delhi,2020-06-27,291,291,,,,pm25
London,2020-06-27,34,34,15.0,28.4,3.7,pm25
New York,2020-06-27,20,20,,,,pm25
Delhi,2020-06-28,291,291,,,,pm25
London,2020-06-28,34,34,15.0,28.4,3.7,pm25
New York,2020-06-28,20,20,,,,pm25
Delhi,2020-06-29,291,291,,,,pm25
London,2020-06-29,34,34,15.0,28.4,3.7,pm25
New York,2020-06-29,20,20,,,,pm25
Delhi,2020-06-30,291,291,,,,pm25
London,2020-06-30,34,34,15.0,28.4,3.7,pm25
New York,2020-06-30,20,20,,,,pm25
Delhi,2020-07-01,291,291,,,,pm25
London,2020-07-01,34,34,15.0,28.4,3.7,pm25
New York,2020-07-01,20,20,,,,pm25
Delhi,2020-07-02,291,291,,,,pm25
London,2020-07-02,34,34,15.0,28.4,3.7,pm25
New York,2020-07-02,20,20,,,,pm25
Delhi,2020-07-03,291,291,,,,pm25
London,2020-07-03,34,34,15.0,28.4,3.7,pm25
New York,2020-07-03,20,20,,,,pm25
Delhi,2020-07-04,291,291,,,,pm25
London,2020-07-04,34,34,15.0,28.4,3.7,pm25
New York,2020-07-04,20,20,,,,pm25
Delhi,2020-07-05,291,291,,,,pm25
London,2020-07-05,34,34,15.0,28.4,3.7,pm25
New York,2020-07-05,20,20,,,,pm25
Delhi,2020-07-06,291,291,,,,pm25
London,2020-07-06,34,34,15.0,28.4,3.7,pm25
New York,2020-07-06,20,20,,,,pm25
Delhi,2020-07-07,291,291,,,,pm25
London,2020-07-07,34,34,15.0,28.4,3.7,pm25
New York,2020-07-07,20,20,,,,pm25
Delhi,2020-07-08,291,291,,,,pm25
London,2020-07-08,34,34,15.0,28.4,3.7,pm25
New York,2020-07-08,20,20,,,,pm25
Delhi,2020-07-09,291,291,,,,pm25
London,2020-07-09,34,34,15.0,28.4,3.7,pm25
New York,2020-07-09,20,20,,,,pm25
Delhi,2020-07-10,291,291,,,,pm25
London,2020-07-10,34,34,15.0,28.4,3.7,pm25
New York,2020-07-10,20,20,,,,pm25
Delhi,2020-07-11,291,291,,,,pm25
London,2020-07-11,34,34,15.0,28.4,3.7,pm25
New York,2020-07-11,20,20,,,,pm25
Delhi,2020-07-12,291,291,,,,pm25
London,2020-07-12,34,34,15.0,28.4,3.7,pm25
New York,2020-07-12,20,20,,,,pm25
Delhi,2020-07-13,291,291,,,,pm25
London,2020-07-13,34,34,15.0,28.4,3.7,pm25
New York,2020-07-13,20,20,,,,pm25
Delhi,2020-07-14,291,291,,,,pm25
London,2020-07-14,34,34,15.0,28.4,3.7,pm25
New York,2020-07-14,20,20,,,,pm25
Delhi,2020-07-15,291,291,,,,pm25
London,2020-07-15,34,34,15.0,28.4,3.7,pm25
New York,2020-07-15,20,20,,,,pm25
Delhi,2020-07-16,291,291,,,,pm25
London,2020-07-16,34,34,15.0,28.4,3.7,pm25
New York,2020-07-16,20,20,,,,pm25
Delhi,2020-07-17,291,291,,,,pm25
London,2020-07-17,34,34,15.0,28.4,3.7,pm25
New York,2020-07-17,20,20,,,,pm25
Delhi,2020-07-18,291,291,,,,pm25
London,2020-07-18,34,34,15.0,28.4,3.7,pm25
New York,2020-07-18,20,20,,,,pm25
Delhi,2020-07-19,291,291,,,,pm25
London,2020-07-19,34,34,15.0,28.4,3.7,pm25
New York,2020-07-19,20,20,,,,pm25
Delhi,2020-07-20,291,291,,,,pm25
London,2020-07-20,34,34,15.0,28.4,3.7,pm25
New York,2020-07-20,20,20,,,,pm25
Delhi,2020-07-21,291,291,,,,pm25
London,2020-07-21,34,34,15.0,28.4,3.7,pm25
New York,2020-07-21,20,20,,,,pm25
Delhi,2020-07-22,291,291,,,,pm25
London,2020-07-22,34,34,15.0,28.4,3.7,pm25
New York,2020-07-22,20,20,,,,pm25
Delhi,2020-07-23,291,291,,,,pm25
London,2020-07-23,34,34,15.0,28.4,3.7,pm25
New York,2020-07-23,20,20,,,,pm25
Delhi,2020-07-24,291,291,,,,pm25
London,2020-07-24,34,34,15.0,28.4,3.7,pm25
New York,2020-07-24,20,20,,,,pm25
Delhi,2020-07-25,291,291,,,,pm25
London,2020-07-25,34,34,15.0,28.4,3.7,pm25
New York,2020-07-25,20,20,,,,pm25
Delhi,2020-07-26,291,291,,,,pm25
London,2020-07-26,34,34,15.0,28.4,3.7,pm25
New York,2020-07-26,20,20,,,,pm25
Delhi,2020-07-27,291,291,,,,pm25
London,2020-07-27,34,34,15.0,28.4,3.7,pm25
New York,2020-07-27,20,20,,,,pm25
Delhi,2020-07-28,291,291,,,,pm25
London,2020-07-28,34,34,15.0,28.4,3.7,pm25
New York,2020-07-28,20,20,,,,pm25
Delhi,2020-07-29,291,291,,,,pm25
London,2020-07-29,34,34,15.0,28.4,3.7,pm25
New York,2020-07-29,20,20,,,,pm25
Delhi,2020-07-30,291,291,,,,pm25
London,2020-07-30,34,34,15.0,28.4,3.7,pm25
New York,2020-07-30,20,20,,,,pm25
Delhi,2020-07-31,291,291,,,,pm25
London,2020-07-31,34,34,15.0,28.4,3.7,pm25
New York,2020-07-31,20,20,,,,pm25
Delhi,2020-08-01,291,291,,,,pm25
London,2020-08-01,34,34,15.0,28.4,3.7,pm25
New York,2020-08-01,20,20,,,,pm25
Delhi,2020-08-02,291,291,,,,pm25
London,2020-08-02,34,34,15.0,28.4,3.7,pm25
New York,2020-08-02,20,20,,,,pm25
Delhi,2020-08-03,291,291,,,,pm25
London,2020-08-03,34,34,15.0,28.4,3.7,pm25
New York,2020-08-03,20,20,,,,pm25
Delhi,2020-08-04,291,291,,,,pm25
London,2020-08-04,34,34,15.0,28.4,3.7,pm25
New York,2020-08-04,20,20,,,,pm25
Delhi,2020-08-05,291,291,,,,pm25
London,2020-08-05,34,34,15.0,28.4,3.7,pm25
New York,2020-08-05,20,20,,,,pm25
Delhi,2020-08-06,291,291,,,,pm25
London,2020-08-06,34,34,15.0,28.4,3.7,pm25
New York,2020-08-06,20,20,,,,pm25
Delhi,2020-08-07,291,291,,,,pm25
London,2020-08-07,34,34,15.0,28.4,3.7,pm25
New York,2020-08-07,20,20,,,,pm25
Delhi,2020-08-08,291,291,,,,pm25
London,2020-08-08,34,34,15.0,28.4,3.7,pm25
New York,2020-08-08,20,20,,,,pm25
Delhi,2020-08-09,291,291,,,,pm25
London,2020-08-09,34,34,15.0,28.4,3.7,pm25
New York,2020-08-09,20,20,,,,pm25
Delhi,2020-08-10,291,291,,,,pm25
London,2020-08-10,34,34,15.0,28.4,3.7,pm25
New York,2020-08-10,20,20,,,,pm25
Delhi,2020-08-11,291,291,,,,pm25
London,2020-08-11,34,34,15.0,28.4,3.7,pm25
New York,2020-08-11,20,20,,,,pm25
Delhi,2020-08-12,291,291,,,,pm25
London,2020-08-12,34,34,15.0,28.4,3.7,pm25
New York,2020-08-12,20,20,,,,pm25
Delhi,2020-08-13,291,291,,,,pm25
London,2020-08-13,34,34,15.0,28.4,3.7,pm25
New York,2020-08-13,20,20,,,,pm25
Delhi,2020-08-14,291,291,,,,pm25
London,2020-08-14,34,34,15.0,28.4,3.7,pm25
New York,2020-08-14,20,20,,,,pm25
Delhi,2020-08-15,291,291,,,,pm25
London,2020-08-15,34,34,15.0,28.4,3.7,pm25
New York,2020-08-15,20,20,,,,pm25
Delhi,2020-08-16,291,291,,,,pm25
London,2020-08-16,34,34,15.0,28.4,3.7,pm25
New York,2020-08-16,20,20,,,,pm25
Delhi,2020-08-17,291,291,,,,pm25
London,2020-08-17,34,34,15.0,28.4,3.7,pm25
New York,2020-08-17,20,20,,,,pm25
Delhi,2020-08-18,291,291,,,,pm25
London,2020-08-18,34,34,15.0,28.4,3.7,pm25
New York,2020-08-18,20,20,,,,pm25
Delhi,2020-08-19,291,291,,,,pm25
London,2020-08-19,34,34,15.0,28.4,3.7,pm25
New York,2020-08-19,20,20,,,,pm25
Delhi,2020-08-20,291,291,,,,pm25
London,2020-08-20,34,34,15.0,28.4,3.7,pm25
New York,2020-08-20,20,20,,,,pm25
Delhi,2020-08-21,291,291,,,,pm25
London,2020-08-21,34,34,15.0,28.4,3.7,pm25
New York,2020-08-21,20,20,,,,pm25
Delhi,2020-08-22,291,291,,,,pm25
London,2020-08-22,34,34,15.0,28.4,3.7,pm25
New York,2020-08-22,20,20,,,,pm25
Delhi,2020-08-23,291,291,,,,pm25
London,2020-08-23,34,34,15.0,28.4,3.7,pm25
New York,2020-08-23,20,20,,,,pm25
Delhi,2020-08-24,291,291,,,,pm25
London,2020-08-24,34,34,15.0,28.4,3.7,pm25
New York,2020-08-24,20,20,,,,pm25
Delhi,2020-08-25,291,291,,,,pm25
London,2020-08-25,34,34,15.0,28.4,3.7,pm25
New York,2020-08-25,20,20,,,,pm25
Delhi,2020-08-26,291,291,,,,pm25
London,2020-08-26,34,34,15.0,28.4,3.7,pm25
New York,2020-08-26,20,20,,,,pm25
Delhi,2020-08-27,291,291,,,,pm25
London,2020-08-27,34,34,15.0,28.4,3.7,pm25
New York,2020-08-27,20,20,,,,pm25
Delhi,2020-08-28,291,291,,,,pm25
London,2020-08-28,34,34,15.0,28.4,3.7,pm25
New York,2020-08-28,20,20,,,,pm25
Delhi,2020-08-29,291,291,,,,pm25
London,2020-08-29,34,34,15.0,28.4,3.7,pm25
New York,2020-08-29,20,20,,,,pm25
Delhi,2020-08-30,291,291,,,,pm25
London,2020-08-30,34,34,15.0,28.4,3.7,pm25
New York,2020-08-30,20,20,,,,pm25
Delhi,2020-08-31,291,291,,,,pm25
London,2020-08-31,34,34,15.0,28.4,3.7,pm25
New York,2020-08-31,20,20,,,,pm25
Delhi,2020-09-01,291,291,,,,pm25
London,2020-09-01,34,34,15.0,28.4,3.7,pm25
New York,2020-09-01,20,20,,,,pm25
Delhi,2020-09-02,291,291,,,,pm25
London,2020-09-02,34,34,15.0,28.4,3.7,pm25
New York,2020-09-02,20,20,,,,pm25
Delhi,2020-09-03,291,291,,,,pm25
London,2020-09-03,34,34,15.0,28.4,3.7,pm25
New York,2020-09-03,20,20,,,,pm25
Delhi,2020-09-04,291,291,,,,pm25
London,2020-09-04,34,34,15.0,28.4,3.7,pm25
New York,2020-09-04,20,20,,,,pm25
Delhi,2020-09-05,291,291,,,,pm25
London,2020-09-05,34,34,15.0,28.4,3.7,pm25
New York,2020-09-05,20,20,,,,pm25
Delhi,2020-09-06,291,291,,,,pm25
London,2020-09-06,34,34,15.0,28.4,3.7,pm25
New York,2020-09-06,20,20,,,,pm25
Delhi,2020-09-07,291,291,,,,pm25
London,2020-09-07,34,34,15.0,28.4,3.7,pm25
New York,2020-09-07,20,20,,,,pm25
Delhi,2020-09-08,291,291,,,,pm25
London,2020-09-08,34,34,15.0,28.4,3.7,pm25
New York,2020-09-08,20,20,,,,pm25
Delhi,2020-09-09,291,291,,,,pm25
London,2020-09-09,34,34,15.0,28.4,3.7,pm25
New York,2020-09-09,20,20,,,,pm25
Delhi,2020-09-10,291,291,,,,pm25
London,2020-09-10,34,34,15.0,28.4,3.7,pm25
New York,2020-09-10,20,20,,,,pm25
Delhi,2020-09-11,291,291,,,,pm25
London,2020-09-11,34,34,15.0,28.4,3.7,pm25
New York,2020-09-11,20,20,,,,pm25
Delhi,2020-09-12,291,291,,,,pm25
London,2020-09-12,34,34,15.0,28.4,3.7,pm25
New York,2020-09-12,20,20,,,,pm25
Delhi,2020-09-13,291,291,,,,pm25
London,2020-09-13,34,34,15.0,28.4,3.7,pm25
New York,2020-09-13,20,20,,,,pm25
Delhi,2020-09-14,291,291,,,,pm25
London,2020-09-14,34,34,15.0,28.4,3.7,pm25
New York,2020-09-14,20,20,,,,pm25
Delhi,2020-09-15,291,291,,,,pm25
London,2020-09-15,34,34,15.0,28.4,3.7,pm25
New York,2020-09-15,20,20,,,,pm25
Delhi,2020-09-16,291,291,,,,pm25
London,2020-09-16,34,34,15.0,28.4,3.7,pm25
New York,2020-09-16,20,20,,,,pm25
Delhi,2020-09-17,291,291,,,,pm25
London,2020-09-17,34,34,15.0,28.4,3.7,pm25
New York,2020-09-17,20,20,,,,pm25
Delhi,2020-09-18,291,291,,,,pm25
London,2020-09-18,34,34,15.0,28.4,3.7,pm25
New York,2020-09-18,20,20,,,,pm25
Delhi,2020-09-19,291,291,,,,pm25
London,2020-09-19,34,34,15.0,28.4,3.7,pm25
New York,2020-09-19,20,20,,,,pm25
Delhi,2020-09-20,291,291,,,,pm25
London,2020-09-20,34,34,15.0,28.4,3.7,pm25
New York,2020-09-20,20,20,,,,pm25
Delhi,2020-09-21,291,291,,,,pm25
London,2020-09-21,34,34,15.0,28.4,3.7,pm25
New York,2020-09-21,20,20,,,,pm25
Delhi,2020-09-22,291,291,,,,pm25
London,2020-09-22,34,34,15.0,28.4,3.7,pm25
New York,2020-09-22,20,20,,,,pm25
Delhi,2020-09-23,291,291,,,,pm25
London,2020-09-23,34,34,15.0,28.4,3.7,pm25
New York,2020-09-23,20,20,,,,pm25
Delhi,2020-09-24,291,291,,,,pm25
London,2020-09-24,34,34,15.0,28.4,3.7,pm25
New York,2020-09-24,20,20,,,,pm25
Delhi,2020-09-25,291,291,,,,pm25
London,2020-09-25,34,34,15.0,28.4,3.7,pm25
New York,2020-09-25,20,20,,,,pm25
Delhi,2020-09-26,291,291,,,,pm25
London,2020-09-26,34,34,15.0,28.4,3.7,pm25
New York,2020-09-26,20,20,,,,pm25
Delhi,2020-09-27,291,291,,,,pm25
London,2020-09-27,34,34,15.0,28.4,3.7,pm25
New York,2020-09-27,20,20,,,,pm25
Delhi,2020-09-28,291,291,,,,pm25
London,2020-09-28,34,34,15.0,28.4,3.7,pm25
New York,2020-09-28,20,20,,,,pm25
Delhi,2020-09-29,291,291,,,,pm25
London,2020-09-29,34,34,15.0,28.4,3.7,pm25
New York,2020-09-29,20,20,,,,pm25
Delhi,2020-09-30,291,291,,,,pm25
London,2020-09-30,34,34,15.0,28.4,3.7,pm25
New York,2020-09-30,20,20,,,,pm25
Delhi,2020-10-01,277,277,,,,pm25
London,2020-10-01,34,34,15.0,28.4,3.7,pm25
New York,2020-10-01,20,20,,,,pm25
Delhi,2020-10-02,277,277,,,,pm25
London,2020-10-02,34,34,15.0,28.4,3.7,pm25
New York,2020-10-02,20,20,,,,pm25
Delhi,2020-10-03,277,277,,,,pm25
London,2020-10-03,34,34,15.0,28.4,3.7,pm25
New York,2020-10-03,20,20,,,,pm25
Delhi,2020-10-04,277,277,,,,pm25
London,2020-10-04,34,34,15.0,28.4,3.7,pm25
New York,2020-10-04,20,20,,,,pm25
Delhi,2020-10-05,277,277,,,,pm25
London,2020-10-05,34,34,15.0,28.4,3.7,pm25
New York,2020-10-05,20,20,,,,pm25
Delhi,2020-10-06,277,277,,,,pm25
London,2020-10-06,34,34,15.0,28.4,3.7,pm25
New York,2020-10-06,20,20,,,,pm25
Delhi,2020-10-07,277,277,,,,pm25
London,2020-10-07,34,34,15.0,28.4,3.7,pm25
New York,2020-10-07,20,20,,,,pm25
Delhi,2020-10-08,277,277,,,,pm25
London,2020-10-08,34,34,15.0,28.4,3.7,pm25
New York,2020-10-08,20,20,,,,pm25
Delhi,2020-10-09,277,277,,,,pm25
London,2020-10-09,34,34,15.0,28.4,3.7,pm25
New York,2020-10-09,20,20,,,,pm25
Delhi,2020-10-10,277,277,,,,pm25
London,2020-10-10,34,34,15.0,28.4,3.7,pm25
New York,2020-10-10,20,20,,,,pm25
Delhi,2020-10-11,277,277,,,,pm25
London,2020-10-11,34,34,15.0,28.4,3.7,pm25
New York,2020-10-11,20,20,,,,pm25
Delhi,2020-10-12,277,277,,,,pm25
London,2020-10-12,34,34,15.0,28.4,3.7,pm25
New York,2020-10-12,20,20,,,,pm25
Delhi,2020-10-13,277,277,,,,pm25
London,2020-10-13,34,34,15.0,28.4,3.7,pm25
New York,2020-10-13,20,20,,,,pm25
Delhi,2020-10-14,277,277,,,,pm25
London,2020-10-14,34,34,15.0,28.4,3.7,pm25
New York,2020-10-14,20,20,,,,pm25
Delhi,2020-10-15,277,277,,,,pm25
London,2020-10-15,34,34,15.0,28.4,3.7,pm25
New York,2020-10-15,20,20,,,,pm25
Delhi,2020-10-16,277,277,,,,pm25
London,2020-10-16,34,34,15.0,28.4,3.7,pm25
New York,2020-10-16,20,20,,,,pm25
Delhi,2020-10-17,277,277,,,,pm25
London,2020-10-17,34,34,15.0,28.4,3.7,pm25
New York,2020-10-17,20,20,,,,pm25
Delhi,2020-10-18,277,277,,,,pm25
London,2020-10-18,34,34,15.0,28.4,3.7,pm25
New York,2020-10-18,20,20,,,,pm25
Delhi,2020-10-19,277,277,,,,pm25
London,2020-10-19,34,34,15.0,28.4,3.7,pm25
New York,2020-10-19,20,20,,,,pm25
Delhi,2020-10-20,277,277,,,,pm25
London,2020-10-20,34,34,15.0,28.4,3.7,pm25
New York,2020-10-20,20,20,,,,pm25
Delhi,2020-10-21,277,277,,,,pm25
London,2020-10-21,34,34,15.0,28.4,3.7,pm25
New York,2020-10-21,20,20,,,,pm25
Delhi,2020-10-22,277,277,,,,pm25
London,2020-10-22,34,34,15.0,28.4,3.7,pm25
New York,2020-10-22,20,20,,,,pm25
Delhi,2020-10-23,277,277,,,,pm25
London,2020-10-23,34,34,15.0,28.4,3.7,pm25
New York,2020-10-23,20,20,,,,pm25
Delhi,2020-10-24,277,277,,,,pm25
London,2020-10-24,34,34,15.0,28.4,3.7,pm25
New York,2020-10-24,20,20,,,,pm25
Delhi,2020-10-25,277,277,,,,pm25
London,2020-10-25,34,34,15.0,28.4,3.7,pm25
New York,2020-10-25,20,20,,,,pm25
Delhi,2020-10-26,277,277,,,,pm25
London,2020-10-26,34,34,15.0,28.4,3.7,pm25
New York,2020-10-26,20,20,,,,pm25
Delhi,2020-10-27,277,277,,,,pm25
London,2020-10-27,34,34,15.0,28.4,3.7,pm25
New York,2020-10-27,20,20,,,,pm25
Delhi,2020-10-28,277,277,,,,pm25
London,2020-10-28,34,34,15.0,28.4,3.7,pm25
New York,2020-10-28,20,20,,,,pm25
Delhi,2020-10-29,277,277,,,,pm25
London,2020-10-29,34,34,15.0,28.4,3.7,pm25
New York,2020-10-29,20,20,,,,pm25
Delhi,2020-10-30,277,277,,,,pm25
London,2020-10-30,34,34,15.0,28.4,3.7,pm25
New York,2020-10-30,20,20,,,,pm25
Delhi,2020-10-31,277,277,,,,pm25
London,2020-10-31,34,34,15.0,28.4,3.7,pm25
New York,2020-10-31,20,20,,,,pm25
Delhi,2020-11-01,277,277,,,,pm25
London,2020-11-01,34,34,15.0,28.4,3.7,pm25
New York,2020-11-01,20,20,,,,pm25
Delhi,2020-11-02,277,277,,,,pm25
London,2020-11-02,34,34,15.0,28.4,3.7,pm25
New York,2020-11-02,20,20,,,,pm25
Delhi,2020-11-03,277,277,,,,pm25
London,2020-11-03,34,34,15.0,28.4,3.7,pm25
New York,2020-11-03,20,20,,,,pm25
Delhi,2020-11-04,277,277,,,,pm25
London,2020-11-04,34,34,15.0,28.4,3.7,pm25
New York,2020-11-04,20,20,,,,pm25
Delhi,2020-11-05,277,277,,,,pm25
London,2020-11-05,34,34,15.0,28.4,3.7,pm25
New York,2020-11-05,20,20,,,,pm25
Delhi,2020-11-06,277,277,,,,pm25
London,2020-11-06,34,34,15.0,28.4,3.7,pm25
New York,2020-11-06,20,20,,,,pm25
Delhi,2020-11-07,277,277,,,,pm25
London,2020-11-07,34,34,15.0,28.4,3.7,pm25
New York,2020-11-07,20,20,,,,pm25
Delhi,2020-11-08,277,277,,,,pm25
London,2020-11-08,34,34,15.0,28.4,3.7,pm25
New York,2020-11-08,20,20,,,,pm25
Delhi,2020-11-09,277,277,,,,pm25
London,2020-11-09,34,34,15.0,28.4,3.7,pm25
New York,2020-11-09,20,20,,,,pm25
Delhi,2020-11-10,277,277,,,,pm25
London,2020-11-10,34,34,15.0,28.4,3.7,pm25
New York,2020-11-10,20,20,,,,pm25
Delhi,2020-11-11,277,277,,,,pm25
London,2020-11-11,34,34,15.0,28.4,3.7,pm25
New York,2020-11-11,20,20,,,,pm25
Delhi,2020-11-12,277,277,,,,pm25
London,2020-11-12,34,34,15.0,28.4,3.7,pm25
New York,2020-11-12,20,20,,,,pm25
Delhi,2020-11-13,277,277,,,,pm25
London,2020-11-13,34,34,15.0,28.4,3.7,pm25
New York,2020-11-13,20,20,,,,pm25
Delhi,2020-11-14,277,277,,,,pm25
London,2020-11-14,34,34,15.0,28.4,3.7,pm25
New York,2020-11-14,20,20,,,,pm25
Delhi,2020-11-15,277,277,,,,pm25
London,2020-11-15,34,34,15.0,28.4,3.7,pm25
New York,2020-11-15,20,20,,,,pm25
Delhi,2020-11-16,277,277,,,,pm25
London,2020-11-16,34,34,15.0,28.4,3.7,pm25
New York,2020-11-16,20,20,,,,pm25
Delhi,2020-11-17,277,277,,,,pm25
